talk_id,url,title,description,film_date,duration,views,main_tag,speaker_id,laughter_count,applause_count,language,event_id
21936,https://www.ted.com/talks/leila_seth_why_i_defend_women_s_inheritance_rights,Why I defend women's inheritance rights,"During her stint on the Law Commission of India, Leila Seth, the first woman to be appointed to the Delhi High Court as a judge, led a campaign to grant women inheritance rights to ancestral property. In this passionate talk, she discusses the experiences that motivated her to defend the property rights and financial independence of women in a patriarchal society like India's. ",2015-05-29,956,707770,social change,20191,6.0,6.0,English,194
2483,https://www.ted.com/talks/aditi_gupta_a_taboo_free_way_to_talk_about_periods,A taboo-free way to talk about periods,"It's true: talking about menstruation makes many people uncomfortable. And that taboo has consequences: in India, three out of every 10 girls don't even know what menstruation is at the time of their first period, and restrictive customs related to periods inflict psychological damage on young girls. Growing up with this taboo herself, Aditi Gupta knew she wanted to help girls, parents and teachers talk about periods comfortably and without shame. She shares how she did it.",2015-05-29,670,1828032,education,2959,5.0,6.0,English,194
19995,https://www.ted.com/talks/boy_girl_banjo_dead_romance,"""Dead Romance""","Acoustic duo Anielle Reid and Matthew Brookshire (playing together as Boy Girl Banjo) take the TED stage to perform their original song ""Dead Romance,"" weaving together the sounds of Americana folk music and modern pop.",2017-11-16,222,312226,performance,3757,0.0,0.0,English,97
12571,https://www.ted.com/talks/drew_philp_my_500_house_in_detroit_and_the_neighbors_who_helped_me_rebuild_it,My $500 house in Detroit -- and the neighbors who helped me rebuild it,"In 2009, journalist and screenwriter Drew Philp bought a ruined house in Detroit for $500. In the years that followed, as he gutted the interior and removed the heaps of garbage crowding the rooms, he didn't just learn how to repair a house -- he learned how to build a community. In a tribute to the city he loves, Philp tells us about ""radical neighborliness"" and makes the case that we have ""the power to create the world anew together and to do it ourselves when our governments refuse.""",2017-11-16,823,1384861,culture,3763,1.0,1.0,English,97
13000,https://www.ted.com/talks/andrew_dent_to_eliminate_waste_we_need_to_rediscover_thrift,"To eliminate waste, we need to rediscover thrift","There's no such thing as throwing something away, says Andrew Dent -- when you toss a used food container, broken toy or old pair of socks into the trash, those things inevitably end up in ever-growing landfills. But we can get smarter about the way we make, and remake, our products. Dent shares exciting examples of thrift -- the idea of using and reusing what you need so you don't have to purchase anything new -- as well as advances in material science, like electronics made of nanocellulose and enzymes that can help make plastic infinitely recyclable.",2017-11-16,634,1451874,technology,3761,0.0,1.0,English,97
10802,https://www.ted.com/talks/nilay_kulkarni_a_life_saving_invention_that_prevents_human_stampedes,A life-saving invention that prevents human stampedes,"Every three years, more than 30 million Hindu worshippers gather for the Kumbh Mela in India, the world's largest religious gathering, in order to wash away their sins. With massive crowds descending on small cities and towns, stampedes inevitably happen, and in 2003, 39 people were killed during the festival. In 2014, then 15-year-old Nilay Kulkarni decided to put his skills as a self-taught programmer to use by building a tech solution to help prevent stampedes. Learn more about his invention -- and how it helped the 2015 Nashik Kumbh Mela have zero stampedes and casualties.",2018-01-24,465,1092617,design,3913,6.0,2.0,English,97
9473,https://www.ted.com/talks/danielle_wood_6_space_technologies_we_can_use_to_improve_life_on_earth,6 space technologies we can use to improve life on Earth,"Danielle Wood leads the Space Enabled research group at the MIT Media Lab, where she works to tear down the barriers that limit the benefits of space exploration to only the few, the rich or the elite. She identifies six technologies developed for space exploration that can contribute to sustainable development across the world -- from observation satellites that provide information to aid organizations to medical research on microgravity that can be used to improve health care on Earth. ""Space truly is useful for sustainable development for the benefit of all peoples,"" Wood says.",2017-11-16,651,1393328,science,3758,0.0,1.0,English,97
3612,https://www.ted.com/talks/victoria_pratt_how_judges_can_show_respect,How judges can show respect,"In halls of justice around the world, how can we ensure everyone is treated with dignity and respect? A pioneering judge in New Jersey, Victoria Pratt shares her principles of ""procedural justice"" -- four simple, thoughtful steps that redefined the everyday business of her courtroom in Newark, changing lives along the way. ""When the court behaves differently, naturally people respond differently,"" Pratt says. ""We want people to enter our halls of justice ... and know that justice will be served there.""",2016-10-05,963,1229338,culture,2905,8.0,1.0,English,97
2790,https://www.ted.com/talks/sofi_tukker_awoo,"""Awoo""","Electro-pop duo Sofi Tukker dance it out with the TED audience in a performance of their upbeat, rhythmic song ""Awoo,"" featuring Betta Lemme.",2017-03-08,212,1964046,entertainment,3364,2.0,3.0,English,97
2810,https://www.ted.com/talks/sinead_burke_why_design_should_include_everyone,Why design should include everyone,"Sinéad Burke is acutely aware of details that are practically invisible to many of us. At 105 centimeters (or 3' 5"") tall, the designed world -- from the height of a lock to the range of available shoe sizes -- often inhibits her ability to do things for herself. Here she tells us what it's like to navigate the world as a little person and asks: ""Who are we not designing for?""",2017-03-08,597,1556219,design,3363,2.0,1.0,English,97
