talk_id,url,title,description,film_date,duration,views,main_tag,speaker_id,laughter_count,applause_count,language,event_id
1841,https://www.ted.com/talks/andrew_fitzgerald_adventures_in_twitter_fiction,Adventures in Twitter fiction,"In the 1930s, broadcast radio introduced an entirely new form of storytelling; today, micro-blogging platforms like Twitter are changing the scene again. Andrew Fitzgerald takes a look at the (aptly) short but fascinating history of new forms of creative experimentation in fiction and storytelling.",2013-07-15,715,1049942,technology,1689,1.0,1.0,English,112
1817,https://www.ted.com/talks/jake_barton_the_museum_of_you,The museum of you,"A third of the world watched live as the World Trade Center collapsed on September 11, 2001; a third more heard about it within 24 hours. (Do you remember where you were?) So exhibits at the soon-to-open 9/11 Memorial Museum will reflect the diversity of the world's experiences of that day. In a moving talk, designer Jake Barton gives a peek at some of those installations, as well as several other projects that aim to make the observer an active participant in the exhibit.",2013-05-16,938,831812,design,1679,1.0,1.0,English,112
1776,https://www.ted.com/talks/bob_mankoff_anatomy_of_a_new_yorker_cartoon,Anatomy of a New Yorker cartoon,"The New Yorker receives around 1,000 cartoons each week; it only publishes about 17 of them. In this hilarious, fast-paced, and insightful talk, the magazine's longstanding cartoon editor and self-proclaimed ""humor analyst"" Bob Mankoff dissects the comedy within just some of the ""idea drawings"" featured in the magazine, explaining what works, what doesn't, and why.",2013-05-16,1259,1392017,design,1660,27.0,2.0,English,112
1743,https://www.ted.com/talks/jay_silver_hack_a_banana_make_a_keyboard,"Hack a banana, make a keyboard!","Why can't two slices of pizza be used as a slide clicker? Why shouldn't you make music with ketchup? In this charming talk, inventor Jay Silver talks about the urge to play with the world around you. He shares some of his messiest inventions, and demos MaKey MaKey, a kit for hacking everyday objects.",2013-04-24,795,1474788,technology,1650,5.0,3.0,English,112
1752,https://www.ted.com/talks/paola_antonelli_why_i_brought_pac_man_to_moma,Why I brought Pac-Man to MoMA,"When the Museum of Modern Art's senior curator of architecture and design announced the acquisition of 14 video games in 2012, ""all hell broke loose."" In this far-ranging, entertaining, and deeply insightful talk, Paola Antonelli explains why she's delighted to challenge preconceived ideas about art and galleries, and describes her burning wish to help establish a broader understanding of design.",2013-05-16,1122,1023829,design,148,8.0,2.0,English,112
1669,https://www.ted.com/talks/esther_perel_the_secret_to_desire_in_a_long_term_relationship,The secret to desire in a long-term relationship,"In long-term relationships, we often expect our beloved to be both best friend and erotic partner. But as Esther Perel argues, good and committed sex draws on two conflicting needs: our need for security and our need for surprise. So how do you sustain desire? With wit and eloquence, Perel lets us in on the mystery of erotic intelligence.",2013-02-11,1150,18952508,culture,1542,8.0,2.0,English,112
1675,https://www.ted.com/talks/bruce_feiler_agile_programming_for_your_family,Agile programming -- for your family,"Bruce Feiler has a radical idea: To deal with the stress of modern family life, go agile. Inspired by agile software programming, Feiler introduces family practices which encourage flexibility, bottom-up idea flow, constant feedback and accountability. One surprising feature: Kids pick their own punishments.",2013-02-11,1080,1749935,culture,939,2.0,2.0,English,112
1783,https://www.ted.com/talks/mohamed_hijri_a_simple_solution_to_the_coming_phosphorus_crisis,A simple solution to the coming phosphorus crisis,"There's a farming crisis no one is talking about: The world is running out of phosphorus, an essential element that's a key component of DNA and the basis of cellular communication. As biologist Mohamed Hijri shows, all roads of this crisis lead back to how we farm -- with chemical fertilizers chock-full of the element, which plants are not efficient at absorbing. One solution? A microscopic mushroom ...",2013-10-03,821,678494,science,1698,0.0,1.0,English,307
1830,https://www.ted.com/talks/kevin_breel_confessions_of_a_depressed_comic,Confessions of a depressed comic,"Kevin Breel didn't look like a depressed kid: team captain, at every party, funny and confident. But he tells the story of the night he realized that -- to save his own life -- he needed to say four simple words.",2013-05-05,660,4733198,mental health,1682,0.0,2.0,English,216
1797,https://www.ted.com/talks/tania_luna_how_a_penny_made_me_feel_like_a_millionaire,How a penny made me feel like a millionaire,"As a young child, Tania Luna left her home in post-Chernobyl Ukraine to take asylum in the US. And one day, on the floor of the New York homeless shelter where she and her family lived, she found a penny. She has never again felt so rich. A meditation on the bittersweet joys of childhood -- and how to hold them in mind.",2012-07-12,331,1855539,culture,1669,0.0,1.0,English,63
